lon,lat,eastVel,northVel,eastSig,northSig,corr,other1,tog,name,upVel,upSig,eastAdj,northAdj,upAdj,
248.08,43.657,-1.316,0.327,0.381,0.394,-0.015,164,1,"RGBY_GPS  ",0,1,0,0,0,
248.077,33.492,-2.732,2.877,0.45,0.45,0.028,2,1,"AZSC_GPS  ",0,1,0,0,0,
269.003,38.46,0.706,1.275,0.623,0.325,0,2,1,"SICE_GPS  ",0,1,0,0,0,
248.072,40.261,-2.324,1.386,0.331,0.307,0,161,1,"LMUT_GPS  ",0,1,0,0,0,
248.071,41.253,-0.696,1.271,0.186,0.172,0,161,1,"EOUT_GPS  ",0,1,0,0,0,
248.07,40.435,-1.232,1.027,0.67,0.53,0,161,1,"MRPH_GPS  ",0,1,0,0,0,
269.017,30.1,0.106,0.576,0.813,0.804,0,2,1,"AWES_GPS  ",0,1,0,0,0,
248.055,39.589,-1.755,1.598,0.387,0.37,0,161,1,"P108_GPS  ",0,1,0,0,0,
248.052,42.391,-1.248,0.453,0.631,0.651,0.057,161,1,"DOWN_GPS  ",0,1,0,0,0,
248.051,40.162,-2.874,2.48,0.67,0.53,0,161,1,"0H64_GPS  ",0,1,0,0,0,
248.05,39.952,-2.98,2.629,0.72,0.53,0,161,1,"ELBE_GPS  ",0,1,0,0,0,
248.049,40.72,-1.612,1.859,0.58,0.43,0,161,1,"BLMB_GPS  ",0,1,0,0,0,
248.048,33.447,-2.134,2.431,0.383,0.394,0,2,1,"SA31_GPS  ",0,1,0,0,0,
248.048,40.786,-1.176,1.391,0.436,0.296,0,161,1,"ZLC1_GPS  ",0,1,0,0,0,
248.043,41.558,-0.638,0.573,0.495,0.464,0,161,1,"P124_GPS  ",0,1,0,0,0,
248.042,44.598,-0.596,0.069,0.374,0.387,-0.01,164,1,"E138_GPS  ",0,1,0,0,0,
248.02,24.51,-39.742,32.25,1.4,1,0,245,1,"WMAR_GPS  ",0,1,0,0,0,
248.019,34.728,-1.261,2.353,2.55,2.7,0.086,2,1,"R018_GPS  ",0,1,0,0,0,
248.011,37.52,-0.997,1.138,0.88,0.681,0,2,1,"KODA_GPS  ",0,1,0,0,0,
248.006,46.589,1.041,0.95,0.73,0.767,0,102,1,"MTDT_GPS  ",0,1,0,0,0,
269.08,32.331,-1.471,-0.061,0.273,0.252,0,2,1,"VIC9_GPS  ",0,1,0,0,0,
247.997,41.757,-1.465,0.092,0.72,0.53,0,161,1,"CURV_GPS  ",0,1,0,0,0,
247.986,40.434,-2.075,1.097,0.423,0.412,0,161,1,"P116_GPS  ",0,1,0,0,0,
