interiorLon,interiorLat,eulerLon,eulerLonSig,eulerLat,eulerLatSig,rotationRate,rotationRateSig,rotationInfo,aprioriTog,other1,other2,other3,other4,other5,other6,name,
108.984,-8.411,120.448,6.502,38.982,15.845,0.348,0.093,0,0,0,0,0,0,0,0,"EJAV                    ",
118.1,-9.361,114.609,0.178,-3.191,0.189,3.238,0.099,0,0,0,0,0,0,0,0,"SUMB                    ",
124.141,14.115,117.8,0.944,9.201,0.889,4.24,0.781,0,0,0,0,0,0,0,0,"Philippines_sliver_north",
132.115,15.386,338.75,0.172,-41.973,0.107,1.059,0.006,0,0,0,0,0,0,0,0,"PhilippineSea           ",
58.885,32.131,60.409,0.318,51.917,1.871,0.507,0.049,0,0,0,0,0,0,0,0,"LB_iran                 ",
120.93,-4.924,119.617,0.054,0.766,0.1,2.77,0.052,0,0,0,0,0,0,0,0,"Makassar                ",
117.05,-3.798,118.313,0.468,52.311,4.634,0.336,0.018,0,0,0,0,0,0,0,0,"WMAK                    ",
148.46,-10.11,92.01,2.321,15.854,0.859,0.92,0.021,0,0,0,0,0,0,0,0,"SCOA                    ",
239.151,46.481,65.466,1.018,-44.081,0.442,0.45,0.073,0,0,0,0,0,0,0,0,"YFTB                    ",
82.013,44.533,83.156,0.188,54.93,0.283,0.678,0.017,0,0,0,0,0,0,0,0,"Gobi_TienShan           ",
88.839,45.215,78.49,7.333,73.14,7.134,0.298,0.072,0,0,0,0,0,0,0,0,"Junggar_new_new         ",
121.621,34.271,126.274,0.429,57.612,0.877,0.437,0.016,0,0,0,0,0,0,0,0,"East_china_sea          ",
108.865,27.119,133.101,1.04,69.342,0.587,0.309,0.004,0,0,0,0,0,0,0,0,"SouthChinaBlock         ",
115.35,33.388,135.952,8.559,70.245,5.354,0.3,0.041,0,0,0,0,0,0,0,0,"Huaihe                  ",
124.141,1.398,305.417,0.05,1.836,0.114,5.162,0.141,0,0,0,0,0,0,0,0,"Manado                  ",
127.602,0.12,330.458,3.98,-29.499,3.734,0.9,0.114,0,0,0,0,0,0,0,0,"MolucaSea               ",
46.357,39.652,29.2,103.382,71.171,72.976,0.41,0.905,0,0,0,0,0,0,0,0,"ELBC_karak              ",
296.558,9.985,118.273,0.188,-2.97,0.59,1.011,0.08,0,0,0,0,0,0,0,0,"Maturin                 ",
23.949,38.859,199.625,0.165,-37.621,0.05,4.759,0.18,0,0,0,0,0,0,0,0,"Karpenissi              ",
178.324,-17.23,141.756,4.42,2.019,2.455,0.844,0.085,0,0,0,0,0,0,0,0,"FIJI                    ",
81.028,46.748,84.505,0.475,52.325,0.89,1.059,0.155,0,0,0,0,0,0,0,0,"Junggar1                ",
282.328,4.853,124.21,2.936,9.215,1.842,0.288,0.036,0,0,0,0,0,0,0,0,"NAndes                  ",
282.775,-12.473,114.713,1.961,9.178,1.182,0.246,0.044,0,0,0,0,0,0,0,0,"Inca_1                  ",
286.983,-12.249,140.23,7.408,8.371,1.523,0.111,0.018,0,0,0,0,0,0,0,0,"Inca_2                  ",
286.354,5.88,114.94,0.659,-2.835,0.256,0.643,0.049,0,0,0,0,0,0,0,0,"NorthAndes_South        ",
120.732,0.756,321.35,1.15,7.703,0.436,1.07,0.057,0,0,0,0,0,0,0,0,"North_Sulawesi          ",
284.304,18.82,108.305,0.864,4.671,3.739,0.287,0.044,0,0,0,0,0,0,0,0,"GONA                    ",
103.818,34.379,282.34,0.24,-22.804,2.067,1.098,0.192,0,0,0,0,0,0,0,0,"dsfsdf                  ",
243.991,36.618,81.208,1.595,-53.188,1.007,0.092,0.007,0,0,0,0,0,0,0,0,"Nevada                  ",
45.61,39.594,45.013,0.441,52.868,4.682,0.804,0.287,0,0,0,0,0,0,0,0,"Gegharkunik             ",
44.634,39.163,43.741,0.235,46.886,1.079,1.61,0.228,0,0,0,0,0,0,0,0,"Chalderan_B5            ",
245.546,42.687,66.625,0.163,-46.084,0.229,0.351,0.025,0,0,0,0,0,0,0,0,"SRPn                    ",
242.745,39.951,65.976,0.403,-43.411,0.42,0.376,0.041,0,0,0,0,0,0,0,0,"cnv                     ",
249.041,42.879,247.862,0.639,43.195,0.276,0.632,0.284,0,0,0,0,0,0,0,0,"IdWy                    ",
237.351,38.892,234.683,0.318,37.474,0.196,3.164,0.356,0,0,0,0,0,0,0,0,"greenwood               ",
240.597,36.746,177.7,5.903,-37.753,4.628,0.132,0.001,0,0,0,0,0,0,0,0,"SierraBlock             ",
238.32,37.547,238.478,0.043,36.871,0.111,7.491,1.127,0,0,0,0,0,0,0,0,"Greenville              ",
177.674,-38.216,6.42,0.662,39.51,0.108,3.167,0.205,0,0,0,0,0,0,0,0,"ENIS                    ",
290.399,18.319,289.196,0.185,24.367,0.612,1.172,0.129,0,0,0,0,0,0,0,0,"HISP                    ",
293.403,18.486,287.834,1.305,32.982,2.877,0.565,0.109,0,0,0,0,0,0,0,0,"PRVI                    ",
120.783,22.545,301.304,0.011,-25.552,0.021,6.841,0.05,0,0,0,0,0,0,0,0,"SCEN                    ",
121.057,24.403,302.265,0.006,-24,0.007,16.081,0.115,0,0,0,0,0,0,0,0,"HSSH                    ",
120.333,22.36,300.818,0.003,-23.373,0.011,30.823,0.341,0,0,0,0,0,0,0,0,"EFSB                    ",
121.468,25.197,121.407,0.005,25.385,0.01,34.248,0.972,0,0,0,0,0,0,0,0,"Taipei                  ",
122.466,24.894,301.246,0.079,-23.957,0.103,2.446,0.343,0,0,0,0,0,0,0,0,"Okinawa                 ",
46.213,24.42,29.147,0.111,49.073,0.111,0.541,0.003,0,0,0,0,0,0,0,0,"arabia                  ",
56.782,32.23,48.937,4.522,59.939,8.942,0.369,0.113,0,0,0,0,0,0,0,0,"NB_iran                 ",
239.516,38.741,212.648,9.495,-4.371,18.526,0.162,0.05,0,0,0,0,0,0,0,0,"InnerThrust             ",
20.595,37.904,199.563,0.105,-37.661,0.095,8.917,0.773,0,0,0,0,0,0,0,0,"Ionian                  ",
21.702,36.821,23.111,0.167,37.034,0.073,9.961,1.16,0,0,0,0,0,0,0,0,"WesternPeloponnese      ",
27.205,35.364,202.687,0.545,-34.965,0.19,6.679,0.845,0,0,0,0,0,0,0,0,"southeast_Aegean        ",
73.491,42.373,227.453,13.63,28.031,33.428,0.146,0.025,0,0,0,0,0,0,0,0,"W_Issykul               ",
72.112,43.602,112.212,22.806,69.451,5.389,0.222,0.058,0,0,0,0,0,0,0,0,"W_Kyrgyz_2              ",
84.066,47.73,85.518,0.563,54.573,1.95,0.893,0.246,0,0,0,0,0,0,0,0,"Junggar3                ",
81.225,48.079,246.465,13.379,-23.553,29.523,0.258,0.279,0,0,0,0,0,0,0,0,"Junggar2                ",
